Unnamed: 0,Datetime,pol
0.0,2021-01-01,14.581429198447069
1.0,2021-01-02,33.72844078433138
2.0,2021-01-03,22.08797779882155
3.0,2021-01-04,9.59903269300145
4.0,2021-01-05,17.90631332027763
5.0,2021-01-06,39.69741593013458
6.0,2021-01-07,42.358659444143846
7.0,2021-01-08,16.940548018449807
8.0,2021-01-09,12.754143172799427
9.0,2021-01-10,8.077793616106117
10.0,2021-01-11,7.979217011383691
11.0,2021-01-12,38.0766121933621
12.0,2021-01-13,47.39490722703214
13.0,2021-01-14,43.01609674873732
14.0,2021-01-15,45.20333384439623
15.0,2021-01-16,43.243566017315935
16.0,2021-01-17,36.26130862193355
17.0,2021-01-18,51.90745743145735
18.0,2021-01-19,44.98601455026445
19.0,2021-01-20,26.59937521974024
20.0,2021-01-21,1.3806358826358784
21.0,2021-01-22,26.423916366041368
22.0,2021-01-23,20.157284812409827
23.0,2021-01-24,23.63192043199857
24.0,2021-01-25,29.36562500000001
25.0,2021-01-26,14.310039682539696
26.0,2021-01-27,33.3286605339105
27.0,2021-01-28,48.27817310004805
28.0,2021-01-29,37.06294996561597
29.0,2021-01-30,34.189392488876834
30.0,2021-01-31,25.559977032227017
31.0,2021-02-01,43.71981465604704
32.0,2021-02-02,75.52872363516131
33.0,2021-02-03,33.612111871263615
34.0,2021-02-04,16.704123015873027
35.0,2021-02-05,12.605853896103904
36.0,2021-02-06,15.718530985073958
37.0,2021-02-07,19.574574968434348
38.0,2021-02-08,24.6433275241017
39.0,2021-02-09,21.803688181691367
40.0,2021-02-10,19.16765563371815
41.0,2021-02-11,20.217831658420963
42.0,2021-02-12,19.79422644485144
43.0,2021-02-13,12.7096412938913
44.0,2021-02-14,16.999083814333826
45.0,2021-02-15,21.22671374458876
46.0,2021-02-16,22.2696039862915
47.0,2021-02-17,26.47816837040275
48.0,2021-02-18,17.461721391744835
49.0,2021-02-19,39.8942196368446
50.0,2021-02-20,24.180927819865325
51.0,2021-02-21,21.868196422129447
52.0,2021-02-22,8.75891909421597
53.0,2021-02-23,12.353109676564769
54.0,2021-02-24,20.627046018217868
55.0,2021-02-25,12.203826424734944
56.0,2021-02-26,4.40837853986292
57.0,2021-02-27,17.129854196729198
58.0,2021-02-28,7.567068753006263
59.0,2021-03-01,18.48603257853258
60.0,2021-03-02,14.34606601731604
61.0,2021-03-03,25.816705769428985
62.0,2021-03-04,9.10103956228957
63.0,2021-03-05,16.897664141414115
64.0,2021-03-06,10.805955612674378
65.0,2021-03-07,22.91572968918208
66.0,2021-03-08,20.306977212602213
67.0,2021-03-09,17.66636295351475
68.0,2021-03-10,21.91027140452137
69.0,2021-03-11,20.16409902597401
70.0,2021-03-12,17.352401824366122
71.0,2021-03-13,37.44575455447326
72.0,2021-03-14,25.62352460618083
73.0,2021-03-15,12.832252886002914
74.0,2021-03-16,21.380258537758515
75.0,2021-03-17,16.644830447330463
76.0,2021-03-18,15.843977272727274
77.0,2021-03-19,21.646614357864355
78.0,2021-03-20,18.071834866522373
79.0,2021-03-21,13.990026830808109
80.0,2021-03-22,14.001961580086588
81.0,2021-03-23,14.498709716209726
82.0,2021-03-24,15.949997294372295
83.0,2021-03-25,13.199085497835515
84.0,2021-03-26,27.96788383838383
85.0,2021-03-27,19.9132665945166
86.0,2021-03-28,16.185113861832615
87.0,2021-03-29,15.64879405663782
88.0,2021-03-30,28.871528905122624
89.0,2021-03-31,11.869148741883125
90.0,2021-04-01,23.21893939393938
91.0,2021-04-02,21.9232121212121
92.0,2021-04-03,16.74458498677249
93.0,2021-04-04,15.150472582972595
94.0,2021-04-05,1.712843614718636
95.0,2021-04-06,14.521437590187595
96.0,2021-04-07,12.335015686198744
97.0,2021-04-08,14.74371452621454
98.0,2021-04-09,16.3949785954786
99.0,2021-04-10,24.833326719576668
100.0,2021-04-11,15.867723665223664
101.0,2021-04-12,21.23361156204907
102.0,2021-04-13,30.52027544558305
103.0,2021-04-14,31.41477633477633
104.0,2021-04-15,21.458305164742665
105.0,2021-04-16,17.975645641395637
106.0,2021-04-17,8.660597492784989
107.0,2021-04-18,8.580151364838876
108.0,2021-04-19,18.161016729798
109.0,2021-04-20,21.49337502630471
110.0,2021-04-21,18.41380606661856
111.0,2021-04-22,33.70609012515262
112.0,2021-04-23,38.00229457271122
113.0,2021-04-24,18.6648530844156
114.0,2021-04-25,17.1021235419673
115.0,2021-04-26,39.47635225885222
116.0,2021-04-27,20.35353415103415
117.0,2021-04-28,28.64272687547238
118.0,2021-04-29,33.37292899230399
,2021-04-30 00:00:00,40.29331973003849
,2021-05-01 00:00:00,22.41875090187591
,2021-05-02 00:00:00,22.795850168350167
,2021-05-03 00:00:00,39.63922799422792
,2021-05-04 00:00:00,28.27696488696492
,2021-05-05 00:00:00,47.36073773448767
,2021-05-06 00:00:00,33.60305860384914
,2021-05-07 00:00:00,31.23549657469372
,2021-05-08 00:00:00,34.28300510687229
,2021-05-09 00:00:00,26.56899374699376
,2021-05-10 00:00:00,45.17954626623372
,2021-05-11 00:00:00,30.85083573833575
,2021-05-12 00:00:00,61.34439327801812
,2021-05-13 00:00:00,51.23058246151985
,2021-05-14 00:00:00,40.22089075276571
,2021-05-15 00:00:00,27.245657001328397
,2021-05-16 00:00:00,51.700266674876005
,2021-05-17 00:00:00,46.6749256854256
,2021-05-18 00:00:00,43.10173917999435
,2021-05-19 00:00:00,85.13397157587755
,2021-05-20 00:00:00,50.64756141774888
,2021-05-21 00:00:00,49.9994806697931
,2021-05-22 00:00:00,36.33669171339278
