,time_x,low,high,open,close,volume,pol
127,08-05-2021,56980.01,59559.84,57380.39,58958.05,15374.94443,34.28300511
128,09-05-2021,56265.3,59300.52,58958.06,58312.57,17169.72319,26.56899375
129,10-05-2021,53600,59592.2,58313.84,55866.41,24647.23541,45.17954627
130,11-05-2021,54511.48,56962.07,55866.38,56753.19,15446.63592,30.85083574
131,12-05-2021,48500,58041,56753.19,49498.77,29660.84274,61.34439328
132,13-05-2021,46000,52500,49498.76,49690.11,42250.08741,51.23058246
133,14-05-2021,48895,51569.56,49682.28,49893.48,21987.79362,40.22089075
134,15-05-2021,46573,50730.58,49893.48,46775.51,21936.11455,27.245657
135,16-05-2021,43825,49808.28,46771.01,46450.79,30655.33065,51.70026667
136,17-05-2021,42101,46646.15,46450.78,43580.5,43660.22208,46.67492569
137,18-05-2021,42300,45851,43571.89,42857.15,28210.30024,43.10173918
138,19-05-2021,30000,43591.7,42865.05,36731.75,109537.2423,85.13397158
139,20-05-2021,35000,42605,36735.44,40623.33,51445.79736,50.64756142
140,21-05-2021,33501.54,42275.99,40623.24,37340.77,55961.90006,49.99948067
141,22-05-2021,35257.52,38889.76,37333.09,37476.83,29239.02738,36.33669171
142,23-05-2021,31111,38319.36,37476.84,34758.67,53433.30297,34.52955475
143,24-05-2021,34407.17,39966.87,34758.88,38878.56,44419.45828,36.8091013
144,25-05-2021,36481.26,39878.51,38874.53,38361.81,26107.55687,25.95379073
145,26-05-2021,37837.36,40900,38361.81,39293.23,25107.68631,44.03883222
146,27-05-2021,37191.99,40440.95,39293.23,38556.88,19390.89447,18.94029131
147,28-05-2021,34688,38900,38556.88,35680.47,36231.72334,44.06383228
148,29-05-2021,33650.86,37325,35680.48,34627.82,27999.15073,29.44552333
149,30-05-2021,33333,36500,34627.81,35669.44,16038.94658,31.65590488
150,31-05-2021,34183,37534.09,35669.44,37279.31,19527.116,43.51496867
151,01-06-2021,35669.14,37918.97,37276.23,36685,15713.10282,40.69508515
152,02-06-2021,35920,38237.37,36684.99,37577.91,13952.35891,38.59101702
153,03-06-2021,37184.88,39489.82,37581.83,39248.55,14325.75607,47.24279822
154,04-06-2021,35593.22,39291.24,39248.54,36856.52,17917.63251,45.0371455
155,05-06-2021,34832.17,37921.35,36856.53,35539.49,13654.69033,45.56506878
156,06-06-2021,35258,36477.86,35539.97,35800.48,8184.503243,33.97681367
157,07-06-2021,33333,36812.39,35800.48,33575.91,18997.71627,40.47693482
158,08-06-2021,31004.95,34069,33567.26,33402.13,34937.55755,24.71659151
159,09-06-2021,32408.53,37573.99,33402.13,37403.86,26040.89793,34.95791811
160,10-06-2021,35800,38425.67,37404.75,36694.05,19853.81419,22.89002585
161,11-06-2021,35944,37695,36694.91,37338.44,14142.1935,23.13915259
162,12-06-2021,34635.47,37448,37340.08,35557.33,14516.54556,11.62673852
163,13-06-2021,34780.57,39396,35557.32,39015.24,15748.96204,28.77992304
164,14-06-2021,38744.83,41076.03,39015.24,40539.47,21916.84416,57.49071308
165,15-06-2021,39510.98,41322.55,40537.93,40162.37,17020.70299,46.76028833
166,16-06-2021,38105,40499,40158.06,38351,17238.57541,28.36020082
167,17-06-2021,37365.63,39554.98,38351,38095.17,15970.35032,13.8313937
168,18-06-2021,35153.16,38216.22,38103.94,35841.81,23472.37724,13.29322421
169,19-06-2021,34833.26,36457.18,35840.96,35484.79,16801.08671,24.83782753
170,20-06-2021,33347.05,36139.73,35484.8,35585.78,19400.07454,21.64184885
171,21-06-2021,31259,35741.54,35585.79,31609.82,41304.39904,22.77226824
172,22-06-2021,28800,33352,31609.82,32538.37,48409.17333,19.63258399
173,23-06-2021,31708.03,34881.02,32538.9,33688.35,23124.81248,21.77293017
174,24-06-2021,32300,35295.67,33688.51,34654.58,16868.94085,23.8972111
175,25-06-2021,31300,35500,34654.87,31594.63,26505.19267,14.50078126
176,26-06-2021,30173.49,32711.68,31594.62,32275.19,18299.38703,22.7421551
177,27-06-2021,32002.21,34749,32267.59,34709.23,14428.92979,29.04657032
178,28-06-2021,33864.99,35301.43,34708.53,34493.22,14920.26479,17.09519144
179,29-06-2021,34233.35,36675,34493.22,35904.28,17917.59826,32.85696459
180,30-06-2021,34033,36094.42,35906.17,35060,16700.72309,6.128627946
181,01-07-2021,32703.48,35066.54,35060,33516.11,13210.95097,15.96485089
182,02-07-2021,32704.73,33972.06,33510.93,33805.02,11765.6539,24.2654938
183,03-07-2021,33320,34953.07,33805.01,34682.16,6197.801129,24.369303
184,04-07-2021,34390.53,35951,34685.03,35284.05,6224.03057,16.78985991
185,05-07-2021,33156.86,35290.82,35284.06,33697.78,9607.606199,12.51629934
186,06-07-2021,33300,35100,33697.78,34225.73,10313.01368,35.14034331
187,07-07-2021,33770.01,35077.46,34225.72,33878.56,9404.897987,28.96892011
188,08-07-2021,32111,33934.62,33879.5,32875.95,14147.35252,26.46929751
189,09-07-2021,32255.24,34100,32875.95,33824.26,8320.906493,19.14425746
190,10-07-2021,33027.83,34267.14,33824.25,33515.35,4906.245822,18.04380368
191,11-07-2021,33333.33,34607.37,33515.35,34259.23,7023.065005,19.06830214
192,12-07-2021,32665,34670,34259.22,33091.1,10145.24047,7.399917629
193,13-07-2021,32201.12,33337.61,33077.43,32734.14,9478.042189,13.34935756
194,14-07-2021,31600,33125.55,32734.14,32816.39,10355.3187,16.44772679
195,15-07-2021,31064.77,33187.6,32815.75,31868.68,11273.61174,25.12883632
196,16-07-2021,31025.42,32259.16,31872.49,31388.06,10006.47794,14.34249113
197,17-07-2021,31179.01,31949.99,31389.57,31533.91,5695.574116,15.09659392
198,18-07-2021,31125.6,32450,31533.9,31788.25,5006.483105,19.50677685
199,19-07-2021,30429.99,31887.82,31786.37,30842.03,11027.00529,15.90505832
200,20-07-2021,29301.56,31052.65,30842.04,29796.16,18114.15286,11.45536834
201,21-07-2021,29501.02,32825,29796.15,32135.19,15598.47831,34.62498226
202,22-07-2021,31729.68,32611.84,32152.68,32287.74,7704.640463,18.21984367
203,23-07-2021,32000,33647.27,32287.75,33647.26,9004.842626,27.47097816
204,24-07-2021,33424.7,34525,33647.27,34283.01,9864.752437,25.03375601
205,25-07-2021,33888.89,35451.04,34291.67,35428.26,9434.630023,21.69859302
206,26-07-2021,35251.54,40593.93,35428.25,37262.77,40354.54556,18.92807545
207,27-07-2021,36413.26,39550,37262.76,39470.48,24709.10441,20.17558502
208,28-07-2021,38803.34,40925.56,39475.99,40035.1,27198.33358,25.19864328
209,29-07-2021,39229.47,40644.85,40035.1,40039.44,11022.42513,20.30796507
210,30-07-2021,38342,42320.57,40039.44,42237.95,15063.23441,24.3878462
211,31-07-2021,41064.11,42414.61,42233.66,41495.01,9351.942886,24.93059307
212,01-08-2021,39426,42605.64,41499,39865.41,10617.67293,10.21119589
213,02-08-2021,38690,40459.68,39859.18,39149.59,12379.41217,15.67401756
214,03-08-2021,37627.21,39785.3,39149.59,38191.44,15094.8174,8.779769721
215,04-08-2021,37509,39965.1,38189.4,39722.41,15327.67625,23.97666326
216,05-08-2021,37300,41447.89,39718.9,40888.74,28507.85533,22.57260372
217,06-08-2021,39876.74,43399.26,40888.73,42869.58,20425.11454,19.84122881
218,07-08-2021,42457.27,44750,42869.59,44637.34,19634.79476,25.38352483
219,08-08-2021,43131.97,45363.83,44628.11,43829.14,18712.27158,12.96441703
220,09-08-2021,42821.3,46497.42,43829.15,46285.48,19464.72494,23.95564935
221,10-08-2021,44650.27,46718.44,46280,45595.66,13756.50067,12.45942301
222,11-08-2021,45350.74,46781.09,45601.82,45553.49,11628.32044,20.15120791
223,12-08-2021,43714.36,46223.95,45553.1,44422.14,13169.78177,14.11596061
224,13-08-2021,44249.64,47953.9,44422.15,47833.64,11794.94196,23.90943377
225,14-08-2021,46034.93,48176.52,47833.64,47109.65,8130.367694,15.71941799
226,15-08-2021,45525.19,47400,47109.64,47014.49,7745.702008,11.08877444
227,16-08-2021,45676.91,48076.52,47014.38,45902.46,10467.66031,10.5930784
228,17-08-2021,44405.39,47174.62,45903.22,44671.58,12756.14778,9.099505111
229,18-08-2021,44216.47,46035.27,44675.34,44707.98,10327.49887,16.97604738
230,19-08-2021,43955,47088.08,44709.1,46765.87,11938.12185,14.08389971
231,20-08-2021,46644.95,49400,46769.02,49342.4,13184.67049,22.46983885
232,21-08-2021,48285.28,49821.92,49349.99,48867.02,9574.836152,17.61425806
233,22-08-2021,48102.89,49526.13,48870.21,49284.63,6243.396434,6.488872655
234,23-08-2021,49012.84,50505,49284.38,49506.5,10824.26838,22.16043531
